id,quantum_company,commercial_partner,year,notes
0,Example Quantum Corp,Example Commercial Partner,2020,Brief description of the partnership focus and application area
1,1QBit,NatWest,,Quantum machine learning for drug discovery and molecular simulation
2,1QBit,Dow Chemical,,Portfolio optimization and risk analysis using quantum algorithms
3,1QBit,BMW,,Quantum photonic computing integration for hardware development
4,1QBit,Undisclosed Biotech (USA),,Quantum simulation for battery chemistry and materials science
5,1QBit,"Biogen, Accenture",,Quantum computing for financial modeling and fraud detection
6,"Algorithmiq (Finland), IBM Quantum (USA)",Trinity College Dublin (Ireland),,Quantum optimization for jet engine design and maintenance
7,Alibaba Quantum Computing Lab,Alibaba Cloud,,Neutral atom quantum computing platform development
8,Amazon,BMW,,Quantum simulation for materials research and drug discovery
9,ARC Centre of Excellence (QUBIC),Queensland Government,,Quantum computing for pharmaceutical research and development
10,Atom Computing (USA),Top-5 Pharma (USA),,
11,Atos Quantum,Total,,
12,Cambridge Quantum (UK),Crown Bioscience (USA),,
13,Cambridge Quantum (UK),Roche (Switzerland),,
14,Cambridge Quantum Computing,Honeywell Quantum Solutions,,
15,Cambridge Quantum Computing,Roche,,
16,Cambridge Quantum Computing,Nippon Steel Corporation,,
17,Cambridge Quantum Computing,AXA,,
18,Classiq,Rolls Royce,,
19,Classiq,Sumitomo Corporation,,
20,D-Wave,Volkswagen,,
21,D-Wave,NEC,,
22,D-Wave,Volkswagen,,
23,D-Wave,DENSO,,
24,D-Wave,Save-On-Foods,,
25,D-Wave,DB Schenker (Germany),,
26,D-Wave,Toyota,,
27,D-Wave,Volkswagen,,
28,D-Wave,DENSO and Toyota Tsusho,,
29,D-Wave,Save-On-Foods,,
30,D-Wave,Pattison,,
31,D-Wave,Lockheed Martin,,
32,D-Wave ,Airbus,,
33,enQase,TBD,,
34,FS-ISAC,TBD,,
35,Fujitsu,Coca-Cola Japan,,
36,Google ,NASA,,
37,Google Quantum AI,Volkswagen AG,,
38,Google Quantum AI,Kasikornbank,,
39,Google Quantum AI,Volkswagen (Germany),,
40,Google Quantum AI,NVIDIA,,
41,Google Quantum AI,Boehringer Ingelheim,,
42,Honeywell Quantum Solutions,J.P. Morgan,,
43,Honeywell Quantum Solutions,BMW Group,,
44,IBM,Barclays,,
45,IBM,E.ON,,
46,IBM,ExxonMobil,,
